Year,Sport,Count of athletes,Count of female athletes,Percentage of women,,,,
2000,Archery,,,,,,,
2000,Athletics,,,,,,,
2000,Badminton,,,,,,,
2000,Baseball,,,,,,,
2000,Basketball,,,,,,,
2000,Beach Volleyball,,,,,,,
2000,Boxing,,,,,,,
2000,Canoeing,,,,,,,
2000,Cycling,,,,,,,
2000,Diving,,,,,,,
2000,Equestrianism,,,,,,,
2000,Fencing,,,,,,,
2000,Football,,,,,,,
2000,Gymnastics,,,,,,,
2000,Handball,,,,,,,
2000,Hockey,,,,,,,
2000,Judo,,,,,,,
2000,Modern Pentathlon,,,,,,,
2000,Rhythmic Gymnastics,,,,,,,
2000,Rowing,,,,,,,
2000,Sailing,,,,,,,
2000,Shooting,,,,,,,
2000,Softball,,,,,,,
2000,Swimming,,,,,,,
2000,Synchronized Swimming,,,,,,,
2000,Table Tennis,,,,,,,
2000,Taekwondo,,,,,,,
2000,Tennis,,,,,,,
2000,Trampolining,,,,,,,
2000,Triathlon,,,,,,,
2000,Volleyball,,,,,,,
2000,Water Polo,,,,,,,
2000,Weightlifting,,,,,,,
2000,Wrestling,,,,,,,
2016,Archery,,,,,,,
2016,Athletics,,,,,,,
2016,Badminton,,,,,,,
2016,Basketball,,,,,,,
2016,Beach Volleyball,,,,,,,
2016,Boxing,,,,,,,
2016,Canoeing,,,,,,,
2016,Cycling,,,,,,,
2016,Diving,,,,,,,
2016,Equestrianism,,,,,,,
2016,Fencing,,,,,,,
2016,Football,,,,,,,
2016,Gymnastics,,,,,,,
2016,Handball,,,,,,,
2016,Hockey,,,,,,,
2016,Judo,,,,,,,
2016,Modern Pentathlon,,,,,,,
2016,Rhythmic Gymnastics,,,,,,,
2016,Rowing,,,,,,,
2016,Sailing,,,,,,,
2016,Shooting,,,,,,,
2016,Swimming,,,,,,,
2016,Synchronized Swimming,,,,,,,
2016,Table Tennis,,,,,,,
2016,Taekwondo,,,,,,,
2016,Tennis,,,,,,,
2016,Trampolining,,,,,,,
2016,Triathlon,,,,,,,
2016,Volleyball,,,,,,,
2016,Water Polo,,,,,,,
2016,Weightlifting,,,,,,,
2016,Wrestling,,,,,,,
